name,coef,影响方向
cat__Roof Style_Hip,0.0,负向降价
cat__Roof Style_Mansard,0.0,负向降价
cat__Roof Style_Shed,0.0,负向降价
cat__Roof Matl_ClyTile,-0.0,负向降价
cat__Roof Matl_CompShg,-0.0,负向降价
cat__Roof Matl_Membran,0.0,负向降价
cat__Roof Matl_Metal,0.0,负向降价
cat__Roof Matl_Roll,-0.0,负向降价
cat__Roof Matl_Tar&Grv,0.0,负向降价
cat__Roof Matl_WdShake,0.0,负向降价
cat__Roof Matl_WdShngl,0.0,负向降价
cat__Exterior 1st_AsbShng,-0.0,负向降价
cat__Exterior 1st_AsphShn,-0.0,负向降价
cat__Exterior 1st_BrkComm,-0.0,负向降价
cat__Exterior 1st_BrkFace,0.0,负向降价
cat__Exterior 1st_CBlock,-0.0,负向降价
cat__Exterior 1st_CemntBd,0.0,负向降价
cat__Exterior 1st_HdBoard,-0.0,负向降价
cat__Exterior 1st_ImStucc,0.0,负向降价
cat__Exterior 1st_MetalSd,-0.0,负向降价
cat__Exterior 1st_Plywood,-0.0,负向降价
cat__Exterior 1st_PreCast,0.0,负向降价
cat__Exterior 1st_Stone,0.0,负向降价
cat__Exterior 1st_Stucco,-0.0,负向降价
cat__Exterior 1st_VinylSd,0.0,负向降价
cat__Exterior 1st_Wd Sdng,-0.0,负向降价
cat__Exterior 1st_WdShing,-0.0,负向降价
cat__Exterior 2nd_AsbShng,-0.0,负向降价
cat__Exterior 2nd_AsphShn,-0.0,负向降价
cat__Exterior 2nd_Brk Cmn,-0.0,负向降价
cat__Exterior 2nd_BrkFace,0.0,负向降价
cat__Exterior 2nd_CBlock,-0.0,负向降价
cat__Exterior 2nd_CmentBd,0.0,负向降价
cat__Exterior 2nd_HdBoard,-0.0,负向降价
cat__Exterior 2nd_ImStucc,0.0,负向降价
cat__Exterior 2nd_MetalSd,-0.0,负向降价
cat__Exterior 2nd_Plywood,-0.0,负向降价
cat__Exterior 2nd_PreCast,0.0,负向降价
cat__Exterior 2nd_Stone,-0.0,负向降价
