name,imp
num__LogSalePrice,0.999964426595464
num__Yr Sold,1.848370070951315e-06
num__Garage Area,1.671233757684437e-06
num__Gr Liv Area,1.5833852397866671e-06
num__TotRms AbvGrd,1.5089508839169272e-06
num__1st Flr SF,1.3817701347670022e-06
num__Lot Area,1.3338024699397687e-06
num__BsmtFin SF 1,1.2074811141446791e-06
num__Bsmt Unf SF,1.1681279807761674e-06
num__Lot Frontage,1.062721463365905e-06
