model,rmse_log,r2_log
PyTorch_MLP,0.11303181563766607,0.9146027565002441
Lasso,0.11628029940134448,0.909623698619521
LightGBM,0.117659675079327,0.9074668022298298
RandomForest,0.12802097568800547,0.8904519763524515
