epoch,train_loss,val_rmse_log,val_r2_log
1,0.3136542424559593,0.1805463458936161,0.7947295904159546
2,0.15792896822094918,0.12738717777945863,0.8978118896484375
3,0.12024828096230825,0.13149471629881182,0.891115665435791
4,0.12121351175010205,0.11904409672466372,0.9107589721679688
5,0.1113083607206742,0.12262238973620684,0.9053134322166443
6,0.09897868322829405,0.13009134918442375,0.8934273719787598
7,0.0957521972556909,0.1186545689692056,0.9113420248031616
8,0.08363442334036032,0.12148998023714071,0.9070541858673096
9,0.0823934342712164,0.11894031398273795,0.9109144806861877
10,0.08350706758598486,0.12084340551616773,0.9080408811569214
11,0.07669009255866209,0.12634634851382462,0.8994749784469604
12,0.07696149454762538,0.11711724877688276,0.9136245250701904
13,0.06999648126463096,0.11753633554933149,0.9130052328109741
14,0.06928647744158904,0.11578842499286383,0.9155734181404114
15,0.06820634628335635,0.11390884612307764,0.9182921648025513
16,0.06112374713023504,0.1152012987673749,0.9164274334907532
17,0.07306667094429334,0.11387572837192567,0.9183396697044373
18,0.07079374119639396,0.11702818770406569,0.9137557744979858
19,0.08564933476348718,0.12389289563913065,0.9033411145210266
20,0.07522299749155839,0.11790859175878377,0.912453293800354
21,0.06167102878292401,0.1118580395013636,0.9212077856063843
22,0.06435573219011227,0.12107661725945514,0.9076855778694153
23,0.05793479960411787,0.12540388423419205,0.9009690880775452
24,0.058822920608023806,0.12159705165016797,0.9068902730941772
25,0.056961429926256336,0.12118883014925763,0.9075143933296204
26,0.05645568259060383,0.11843384927090271,0.91167151927948
27,0.06046441004921992,0.12037327844437445,0.9087550044059753
28,0.057678768907984096,0.1163394401829431,0.9147679805755615
29,0.0564894945671161,0.11612266505817587,0.9150853157043457
30,0.052233581182857355,0.11582335585508537,0.9155224561691284
31,0.06890960646172364,0.11912851584761083,0.9106323719024658
32,0.05883009588966767,0.11310364513741898,0.9194432497024536
33,0.05318477594604095,0.11298606082379721,0.9196106195449829
34,0.04948947901527087,0.11539106303721394,0.9161518812179565
35,0.0566878550996383,0.11885567499346539,0.911041259765625
36,0.04939985517412424,0.11447638203757617,0.9174759387969971
37,0.05628117546439171,0.11535110461269796,0.9162099361419678
38,0.05536427708963553,0.11462929645471266,0.9172552824020386
39,0.054848570749163626,0.11105777305478778,0.9223311543464661
40,0.051937060865263146,0.1119228089994053,0.9211165308952332
41,0.05393162829180558,0.1104012436561748,0.9232467412948608
42,0.05531827739129464,0.11778023148230658,0.9126437902450562
43,0.05506486147642135,0.11771447586247662,0.9127413034439087
44,0.045962454813222094,0.11665059517179417,0.914311408996582
45,0.05184336726864179,0.11388148582812596,0.9183313846588135
46,0.04623425422857205,0.11088852086596535,0.9225677251815796
47,0.04932101536542177,0.11554857431391186,0.9159228205680847
48,0.053850041267772514,0.11399122258117105,0.9181739091873169
49,0.053087165641287966,0.11142929817152554,0.9218106269836426
50,0.042008986324071886,0.11260402840071503,0.9201533198356628
51,0.04723855089396238,0.11271944994083839,0.9199895858764648
52,0.04677902193119129,0.11832833890367933,0.911828875541687
53,0.044486590288579465,0.1155598537462901,0.9159064292907715
54,0.05312371489902337,0.11504300034653302,0.9166569709777832
55,0.0453908155982693,0.1133861302876244,0.919040322303772
56,0.048477261886000635,0.11515071628504513,0.9165008068084717
57,0.050660307208697,0.12218842323739806,0.9059824347496033
58,0.04879571131120126,0.12051719261152904,0.9085366725921631
59,0.0428035756573081,0.11792139877752897,0.9124342799186707
60,0.045612456649541853,0.11692414494229958,0.9139090776443481
61,0.0489056616400679,0.1234213338599323,0.904075562953949
62,0.04784916304051876,0.11959838088479179,0.9099259972572327
63,0.04630272382249435,0.12062869446784258,0.908367395401001
64,0.05232426635921002,0.12235968813602195,0.9057186841964722
65,0.04514203884949287,0.11603564577716943,0.9152125120162964
66,0.04668293589105209,0.1203718045455246,0.908757209777832
67,0.042921460171540575,0.12214060476165561,0.9060559868812561
68,0.04329402813067039,0.11727602317246216,0.9133901596069336
69,0.0444527259717385,0.11841559239563412,0.9116987586021423
70,0.046028460438052816,0.11641148085010332,0.9146623611450195
71,0.041882922189931074,0.11819327994177452,0.912030041217804
72,0.03947984042267005,0.12042751001572756,0.9086727499961853
73,0.040781918664773306,0.12000594376456958,0.909311056137085
74,0.05623141912122567,0.1187347745859797,0.9112221002578735
75,0.04843421308323741,0.11957595198129908,0.9099597930908203
76,0.04755730796605349,0.11682680569401635,0.9140523672103882
